DataLength,ChunkSize,Time(microseconds),ComparisonCount
1000,2,80,8700
1000,4,52,8760
1000,8,51,9113
1000,16,49,10321
1000,32,58,13599
1000,64,78,20328
1000,128,147,34962
1000,256,238,67837
1000,512,431,130250
1000,1024,866,255759
2000,2,126,19424
2000,4,135,19547
2000,8,102,20257
2000,16,109,22613
2000,32,125,28902
2000,64,167,42538
2000,128,261,72406
2000,256,466,136523
2000,512,867,259719
2000,1024,1644,504670
4000,2,415,42818
4000,4,318,43078
4000,8,299,44530
4000,16,323,49152
4000,32,347,61939
4000,64,399,89130
4000,128,584,148268
4000,256,970,274209
4000,512,1781,525513
4000,1024,3644,1019753
8000,2,960,93694
8000,4,947,94262
8000,8,785,97083
8000,16,841,106641
8000,32,820,132214
8000,64,1081,186627
8000,128,1344,307310
8000,256,2530,552303
8000,512,3689,1051077
8000,1024,6868,2029797
16000,2,1867,203396
16000,4,1771,204458
16000,8,1715,210118
16000,16,1723,229434
16000,32,1727,279170
16000,64,2075,389667
16000,128,2896,628286
16000,256,4179,1111017
16000,512,7315,2101887
16000,1024,14135,4073873
32000,2,3990,438850
32000,4,3822,440851
32000,8,3718,452184
32000,16,3582,490299
32000,32,3725,588535
32000,64,4273,809707
32000,128,5692,1286597
32000,256,8609,2256217
32000,512,15036,4232499
32000,1024,28400,8211405
64000,2,8637,941376
64000,4,8121,945200
64000,8,7852,968211
64000,16,7772,1044982
64000,32,8046,1242699
64000,64,9144,1683246
64000,128,11975,2628418
64000,256,17842,4568954
64000,512,30496,8515833
64000,1024,55555,16468021
128000,2,18030,2010529
128000,4,17142,2018119
128000,8,16595,2064318
128000,16,16131,2217653
128000,32,17007,2610397
128000,64,19778,3494440
128000,128,25253,5374815
128000,256,38562,9251922
128000,512,65279,17146960
128000,1024,118261,33024147
256000,2,37849,4276938
256000,4,36535,4292083
256000,8,35384,4383806
256000,16,35315,4690208
256000,32,35763,5474416
256000,64,42335,7239273
256000,128,52944,11002868
256000,256,78652,18772521
256000,512,132277,34558354
256000,1024,235143,66274236
512000,2,82460,9065548
512000,4,79481,9095691
512000,8,75215,9280834
512000,16,81861,9892298
512000,32,100996,11454522
512000,64,119768,14981500
512000,128,142351,22494505
512000,256,210863,38013307
512000,512,283889,69521059
512000,1024,464628,132918704
1024000,2,172238,19154632
1024000,4,163593,19214695
1024000,8,163991,19585012
1024000,16,159428,20811239
1024000,32,162299,23931569
1024000,64,187468,30980114
1024000,128,229306,46004007
1024000,256,327839,77037168
1024000,512,529186,140082059
1024000,1024,955260,267092014
2048000,2,354055,40355995
2048000,4,346538,40475139
2048000,8,334757,41217228
2048000,16,328237,43664397
2048000,32,333787,49906527
2048000,64,372232,64015812
2048000,128,468134,94070979
2048000,256,659829,156190620
2048000,512,1059704,282273304
2048000,1024,1867290,536421828
4096000,2,744466,84808606
4096000,4,724104,85046920
4096000,8,694326,86532820
4096000,16,688716,91425859
4096000,32,702591,103908298
4096000,64,780318,132134708
4096000,128,970290,192204217
4096000,256,1354882,316324222
4096000,512,2149504,568324921
4096000,1024,3822774,1076584975
8192000,2,1535046,177806984
8192000,4,1486132,178284089
8192000,8,1713833,181260860
8192000,16,1853991,191051720
8192000,32,1903731,216023495
8192000,64,2113355,272509942
8192000,128,2581831,392659624
8192000,256,3583703,640863899
8192000,512,5657438,1144913858
8192000,1024,9897271,2161105915
10000000,2,2471496,220097721
10000000,4,2439806,220218354
10000000,8,2365747,221103555
10000000,16,2316149,226404499
10000000,32,2300495,242304553
10000000,64,2412913,281237726
10000000,128,2731471,367396636
10000000,256,3417639,548456616
10000000,512,4976236,920035727
10000000,1024,8107472,1672873072
